ImageId,PredictionString
ID_18fb86d04,0.18860136 3.1278105 -3.1177773 -32.404074740431966 15.938485707118176 116.89988708496094 0.6859528 0.14493905 0.04182661 -3.0873053 -23.72319810284398 13.071853319759434 84.25468444824219 0.72906226 0.2443683 3.1162899 -3.106245 -17.432626675854408 11.70664776642267 71.96630859375 0.8140345 0.116365716 0.032411095 -3.0944836 -1.408200087414592 8.035499107319168 43.38047409057617 0.86529154 0.1528735 -0.06838744 -3.07879 -1.2807214867691368 3.8428308587473676 15.902815818786621 0.99137443
ID_ce06d4dc1,0.13026856 3.137324 -3.1129024 -30.90026745548323 8.158088769112076 58.228885650634766 0.9242636 0.19253393 0.0314113 -3.0816333 -33.825607790713434 10.691357790914445 76.31025695800781 0.8752039 0.16460095 0.00732179 -3.0856607 -28.217934431568423 14.645141749855028 101.79810333251953 0.5567034 0.107250914 0.054341406 -3.1000128 -16.427238754727384 12.526301335940587 82.74404907226562 0.5706051 0.16526161 0.0015049452 -3.0846272 -10.588969265022538 5.753166057991834 31.702720642089844 0.99792045 0.33840516 0.14757407 -3.0821617 -9.01055942189896 3.2941800907979584 11.957459449768066 0.99195975
ID_afe07078f,0.09075092 0.05330309 -3.107127 -3.3048064280482237 11.896190307123646 89.72686004638672 0.56460196 0.13832712 0.09490035 -3.0775988 3.6714304609982378 16.795710814175564 110.9461669921875 0.8160003 0.16881251 -0.026071172 -3.0827065 5.642308949614119 14.400905873549092 95.12698364257812 0.5578257 0.2178 3.1243625 -3.1217713 -22.95694186915906 6.8182549038367455 42.907020568847656 0.94783723 0.19454007 3.1262233 -3.102096 -21.09436126481273 8.978551602814022 56.501686096191406 0.9887954 0.11981273 0.07256287 -3.0888722 9.377919407522953 14.808319274830978 91.03375244140625 0.76290464 0.124507666 0.008242812 -3.0933492 10.637196991508631 13.698371068538165 82.30748748779297 0.5832206 0.11663747 0.05934033 -3.1079397 10.868054880805552 11.762411389463367 66.18822479248047 0.61732244 0.15340698 0.14254463 -3.072668 13.83155965830916 10.924980232157019 60.20191192626953 0.90683156 0.11963999 -0.05580584 -3.1139414 13.446439645415076 9.532819322549472 52.530433654785156 0.6310419 0.116541386 0.063140415 -3.0961478 13.226673230718681 8.548828692299367 43.502079010009766 0.98534226 0.13455904 -0.060972773 -3.0977309 10.154182609589935 5.915552055388417 27.473398208618164 0.86021894 0.09022629 0.1840782 -3.0953486 10.26338260085096 5.557861980057812 25.36909294128418 0.917434 0.12755977 -0.11383568 -3.08055 -6.745722861627881 3.441902207278982 13.608283042907715 0.9986771 0.17237693 -0.05311532 -3.0807035 10.354053715041942 4.921412092609682 19.17275619506836 0.8969203
ID_37caf75aa,0.16466476 -0.0011830556 -3.0928965 -37.15777712133479 10.336819330197507 70.02062225341797 0.8354697 0.2590069 0.044338305 -3.0935054 -30.860801020727983 9.744755265909049 62.80986022949219 0.9401022 0.1790301 0.058026478 -3.0952978 -28.033005920740713 11.931899102401957 75.08699035644531 0.8817433 0.117064685 0.013489709 -3.1023211 -26.144656452539024 9.40899626523867 57.841556549072266 0.8455802 0.12483387 -0.05412477 -3.1042163 -27.267553484228756 10.980981573625805 67.50529479980469 0.9203862 0.1754409 -0.023170747 -3.08472 -18.37611653978501 11.392327307773428 68.45148468017578 0.9428021 0.1689459 -0.019037552 -3.0767674 -15.362920466467614 11.601851986597403 69.7104263305664 0.90599984 0.13414787 -0.007829279 -3.088695 -15.169377530691492 12.44265781783188 74.76245880126953 0.8975546 0.20533685 0.046599362 -3.091994 -21.49276541263095 5.601306520120815 32.912078857421875 0.93905747 0.15232699 0.0028450731 -3.0749118 -11.03774639059585 10.90198759118033 64.05774688720703 0.94445586 0.23514281 0.083375975 -3.089082 -10.405352478414144 12.893487875166521 75.7593765258789 0.9693308 0.17573862 0.04812685 -3.0788536 -6.588876638767651 12.239205304222104 70.36016845703125 0.92903125 0.16728175 0.07066776 -3.0803432 1.3097001095960294 14.593735750424877 83.89578247070312 0.70967734 0.09280746 0.028539049 -3.1197305 -11.307114320210376 6.224793040128901 34.301612854003906 0.9440745 0.14937697 -0.036535576 -3.088015 -7.861232150555717 4.534735247138297 21.822834014892578 0.99246264
ID_7655363ca,0.17385016 3.1305058 -3.1227334 -19.18100990630928 7.497430602692283 45.048763275146484 0.9811509 0.15948139 3.1341786 -3.1187696 -20.56782925630661 7.2175474294141075 41.49189758300781 0.9883696 0.14355206 -3.001386 -3.1116102 23.77910922796751 7.6133992232529195 34.751678466796875 0.99534816 0.23224416 -2.9789011 -3.1285305 8.829481717726836 5.108293747219786 21.139690399169922 0.9973394
ID_ecb7edbb8,0.12502366 3.1213536 -3.1072905 9.936510069534577 7.140756651076334 36.33687973022461 0.9787275 0.17474526 0.11896931 -3.0792024 1.0961411574207283 5.444946971430653 26.20311164855957 0.99921453 0.1605528 0.05358133 -3.0822363 9.570697723031095 6.021676339709835 28.978548049926758 0.99772674
ID_e3b680bf6,0.11779319 3.138813 -3.0968645 -18.32938641161833 9.772471410214195 58.718482971191406 0.7422736 0.21084787 3.1230254 -3.1205165 -12.120642106666537 13.407246906283014 80.5582504272461 0.9235043 0.16546988 0.08495312 -3.0840893 5.366243392055665 16.989584016180572 97.6689224243164 0.86319655 0.17703938 -0.00013523549 -3.0880036 1.565289382036056 17.818803388589302 100.26812744140625 0.76023495 0.19130598 -0.01306915 -3.068061 -4.688503981059085 10.021066821554875 55.22091293334961 0.98062193 0.18896411 -0.020464476 -3.0839996 -3.331746034783798 13.267252652796067 73.10896301269531 0.99052835 0.13226962 0.00621673 -3.0963075 6.232941679143956 13.935948609858258 76.7938003540039 0.53600186 0.14725292 -0.030200431 -3.1021247 6.094559697355123 11.676488838516576 61.782371520996094 0.96092755 0.14950787 -0.04199882 -3.088715 -0.7392778371784914 9.512220225345224 49.348854064941406 0.9443842 0.19257843 -0.0705363 -3.0834315 6.5377861115203615 8.666197863975455 43.271236419677734 0.67560846 0.10782075 -0.09273218 -3.1218383 8.775158697743663 8.61203760259533 42.20822525024414 0.9735044 0.13895606 -0.033193596 -3.0814388 -3.220721938312993 2.893138639293783 11.438631057739258 0.9969893 0.086833656 -2.8939242 3.1400251 9.160900194433108 3.816575227333585 13.136382102966309 0.9223895
ID_c51c8de2b,0.13516748 -0.035640325 -3.1202714 19.168075175273216 13.72911395959214 78.92528533935547 0.5857307 0.18900084 0.029374756 -3.0856 5.199892118938784 13.57865609004999 76.40840911865234 0.8465759 0.17572093 0.05056777 -3.0918458 16.156445498646292 12.739168639675384 71.68453216552734 0.7891299 0.15362132 -0.030977972 -3.1020398 49.176617956418 13.643241121412395 76.77183532714844 0.8855433 0.12239647 0.015549884 -3.1193526 17.758708257185802 12.174288737296123 67.0862045288086 0.6502061 0.13757563 -0.008383223 -3.1115973 19.68374420377215 12.465034597665188 68.6883544921875 0.5193257 0.06005847 -0.07634926 3.1270168 23.455617016527057 13.060968286952907 71.97223663330078 0.92607725 0.17117977 0.033599764 -3.0986676 24.676333385902964 12.40944042595197 68.38200378417969 0.9212041 0.09846228 -3.063469 -3.1372547 28.416888363153106 12.871917442296493 69.4903793334961 0.9538506 0.10774708 -0.07924728 -3.1195495 49.32781965456583 13.614219194674895 73.49777221679688 0.9590526 0.13997398 -0.01362008 -3.0938282 -2.100796069755944 9.636344450239271 50.987606048583984 0.89393383 0.113771915 -0.091597095 -3.1233292 31.189812960854184 12.898499267120528 68.24824523925781 0.93576413 0.14900339 0.04560066 -3.1038103 1.3138220263210272 8.817192803614589 45.74309158325195 0.7526269 0.1870457 -0.050066918 -3.0931141 32.66539647154259 12.25414575370884 63.57380676269531 0.8918189 0.10635495 -0.014566199 -3.118305 35.947620011561895 12.872655631104593 65.50456237792969 0.84332716 0.14374161 -0.09546814 -3.0999641 45.54209241378112 12.294246167469275 62.56123352050781 0.97608733 0.099097654 -0.016472438 -3.1279624 -0.2538304332881154 8.146606995441061 40.67686462402344 0.8479656 0.10883415 -0.011443723 -3.1249738 5.053657717221299 7.717625455510763 37.82464599609375 0.97091305 0.13099349 0.07791801 -3.1038175 2.4409179823291147 6.362338297069069 30.073659896850586 0.9079809 0.14146638 0.02254806 -3.0873094 0.2124098042261604 4.424068442434448 18.896331787109375 0.99627614
ID_bbe2505b7,0.22218393 0.260755 -3.0696452 -18.233209701837104 4.661305608020989 25.68604278564453 0.995404 0.12665544 3.1394746 -3.1211283 -2.681984424978424 7.200692590958742 37.356781005859375 0.9914833 0.19385171 0.00529372 -3.083875 -7.04929288989284 5.828291276966642 29.10127067565918 0.95523924 0.08222948 -3.1364071 -3.1243877 -0.2338872215608383 7.506535960363063 37.48092269897461 0.9928871 0.21553747 -2.9136243 -3.117803 30.272174102481245 9.86889090875895 49.27640914916992 0.9158178 0.12249425 -3.0948777 -3.1143618 3.2071627589212994 8.062373680891792 39.5142822265625 0.98322153 0.11228764 -3.057374 -3.1296012 8.611525458197185 8.430016722120136 40.56837844848633 0.9902172 0.09338087 -0.1827577 -3.1387458 28.858425745416014 11.015068481463686 53.008609771728516 0.96337557 0.14377522 0.033328764 -3.101669 7.321507651848407 8.956457915946991 42.335609436035156 0.5706486 0.12753248 0.15096185 -3.0898242 14.73364116654271 9.437861155396917 44.61111831665039 0.9920763 0.1752045 -2.8873725 -3.1151388 20.27326251413843 7.2805471579254295 30.6054630279541 0.9122901
ID_b2f337d86,0.16368572 3.132631 -3.1174812 -18.97113925553305 7.089029996550288 38.2708625793457 0.6270733 0.17606007 3.1345692 -3.1147082 -23.847760213939747 6.3200569230461205 32.78809356689453 0.7364701 0.15805362 3.1336727 -3.117996 -21.05638735691308 5.975227059258412 30.999135971069336 0.9375826 0.23613511 3.121389 -3.1068542 -16.408470784817446 5.635186208077943 29.235023498535156 0.6980181 0.11763924 -0.011392788 -3.1086764 -0.1577736871119626 16.263532402832183 84.37427520751953 0.7964762 0.19192682 3.1317945 -3.1200068 -19.615661081138995 6.326224194441771 32.19200134277344 0.616791 0.13307701 3.135822 -3.114942 -17.445824714805877 5.62661659560893 27.077373504638672 0.7707145 0.1413369 -0.053189866 -3.0892808 -3.4527276432979797 9.993469792263035 48.0922966003418 0.98815644 0.09930241 0.00038623065 -3.1083527 3.305871391581082 7.151162445125657 32.09090042114258 0.99592113 0.17429888 0.013081671 -3.0856886 7.1828471383357275 6.352765209929569 27.13429069519043 0.9220206 0.13380307 -3.0346265 -3.125557 10.306678642269432 5.964547300656221 25.476112365722656 0.50935435 0.13823473 0.08129824 -3.1011934 7.3615343893390985 5.618675004362274 22.895477294921875 0.99139434 0.1692888 0.019221392 -3.0817363 -3.174562398586673 4.368929201222292 17.534194946289062 0.9885953 0.18289447 0.022340927 -3.0804152 10.316393801482484 5.426429631537534 20.250131607055664 0.9496573 0.14611864 0.0471716 -3.0927072 6.440083440245058 4.5835028475026025 16.63753890991211 0.9974606 0.18000162 0.05882632 -3.0779414 10.001980724368103 4.500487858948619 15.099456787109375 0.992282
